Privacy Settings,Setari de confidentialitate
Are you sure you want to do this?,Esti sigur ca vrei sa faci asta?
Delete Consent,sterge consimtamantul
Clone,Cloneaza
Delete,sterge
Save and Continue Edit,Salveaza si continua editarea
Save,Salveaza
Send,Trimite
Download personal data,Descarca datele personale
Here you can download a copy of your personal data which we store for your account in CSV format.,Aici poti descarca o copie a datelor personale pe care le stocham pentru contul dvs. In format CSV.
Download,Descarca
Anonymise personal data,Anonimizeaza datele personale
"Anonymising your personal data means that it will be replaced with non-personal anonymous information and before that you will get your new login to your e-mail address (your password will stay the same). After this process, your e-mail address and all other personal data will be removed from the website.",Anonimizarea datelor cu caracter personal cu informatii non-personale anonime si schimbarea adresei de e-mail (parola va ramane la fel). Dupa acest proces adresa ta de e-mail si toate celelalte date personale vor fi eliminate de pe site-ul web.
I agree and I want to proceed,Sunt de acord si vreau sa continui
Proceed,Continua
Delete account,sterge cont
"Request to remove your account, together with all your personal data, will be processed by our staff.<br>Deleting your account will remove all the purchase history, discounts, orders, invoices and all other information that might be related to your account or your purchases.<br>All your orders and similar information will be lost.<br>You will not be able to restore access to your account after we approve your removal request.",Cererea pentru a elimina contul, Impreuna cu toate datele personale vor fi prelucrate de catre personalul nostru. <br> stergerea contului tau va elimina toate istoria de cumparare, reduceri, comenzi, facturile si toate celelalte informatii care ar putea fi legate de contul tau sau achizitiile tale. <Br > Toate comenzile si informatii similare vor fi pierdute. <br> Nu vei mai putea restabili accesul la cont dupa ce solicitarea de eliminare este aprobata.
I understand and I want to delete my account,Inteleg si vreau sa Imi sterg contul
Submit request,Trimite cererea
Action Log,Jurnal
Action logs was successfully removed.,Jurnalele de actiune a fost eliminat cu succes.
Consent Log,Consimtamantul pentru jurnale
Consent logs was successfully removed.,Jurnalele de consimtamant au fost eliminate cu succes.
Customers Consents Email Queue,Lista consimtamanturi
You have successfully deleted the consent,Ai sters cu succes acordul
We can't delete item right now. Please review the log and try again.,Nu putem sterge un element chiar acum. Examinati jurnalul si Incercati din nou.
Edit Consent,Editeaza consimtamantul
This consent no longer exists...,Acest consimtamant nu mai exista ...
New Consent,Consimtamant nou
Consent Checkboxes,Checkbox-uri consimtamant
An error has occurred,A avut loc o eroare
You saved the consent.,Ai salvat consimtamantul.
Consent with code %1 already exists.,Consimtamantul cu codul %1 exista deja.
Cookie Policy Consents,Politica Cookie
This policy no longer exists.,Aceasta politica nu mai exista.
You deleted the policy.,Ai sters politica.
New Privacy Policy,Politica de confidentialitate noua
Edit Privacy Policy %1,Editeaza politica de confidentialitate %1
Privacy Policy,Politica de confidentialitate
Please correct the data sent.,Va rugam sa corectati datele trimise.
Something went wrong while saving the question.,Ceva a mers prost la salvarea Intrebarii.
%1 policies(s) has been successfully deleted,%1 politica/politici a(u) fost sters(e) cu succes
Privacy policy with the same version already exists.,Politica de confidentialitate cu aceeasi versiune exista deja.
You saved the item.,Ai salvat elementul.
%1 customer(s) has been successfully deleted,%1 client(i) a(u) fost sters(i) cu succes
